"state","RatesOfMentalIllness","adultsWithAnxietyOrDepresion","adultsWithSevereMentalIllness","overallMentalHealthStandingYouthAdults"
"Utah",29.68,32.1,6.3,42
"Oregon",27.33,32.6,5.7,45
"West Virginia",26.05,37.9,5.8,37
"Kansas",26.02,32,5.7,40
"Oklahoma",25.59,33.9,5.4,32
"Washington",25.51,31.3,5.5,31
"Idaho",24.92,35.9,5.3,49
"Ohio",24.32,35.2,6.3,24
"Rhode Island",24.12,25.1,5.1,11
"Arizona",23.89,33.2,5.6,48
"New Hampshire",23.74,31.5,4.9,13
"Vermont",23.71,30.5,5.8,5
"Wyoming",23.63,32.3,5.5,47
"Montana",23.43,32.2,5.2,20
"Nebraska",23.41,26.9,4.9,25
"Minnesota",23.23,26.8,4.9,10
"Colorado",23.16,32.1,5.5,36
"Arkansas",22.61,30.6,5.5,38
"Michigan",22.33,32.1,5,17
"Alaska",22.2,31.6,5.9,46
"Kentucky",21.91,35.9,5.8,15
"Indiana",21.83,31.2,5.4,41
"Wisconsin",21.83,28.1,5.3,7
"South Carolina",21.69,32.8,4.9,29
"Maine",21.61,27.5,6,8
"Massachusetts",21.39,30.7,5.2,1
"Nevada",21.38,32.6,5.6,50
"Missouri",21.32,30.2,5.6,39
"South Dakota",21.25,24.7,5.3,16
"Alabama",21.24,38.2,5.6,44
"Louisiana",21.18,39.2,5.3,18
"New Mexico",21.16,32.1,5.3,34
"Mississippi",21.06,32.6,5.2,35
"Iowa",21,27.8,5.4,22
"North Dakota",20.79,30.4,5,28
"Illinois",20.72,28.5,4.5,12
"Delaware",20.52,30.7,5.4,21
"Virginia",20.51,28.6,4.5,19
"California",20.49,32.6,4.5,23
"Tennessee",20.46,33.9,5.4,33
"North Carolina",19.8,30.1,4.8,30
"Pennsylvania",19.68,32.8,4.9,3
"New York",18.83,34.1,4.4,6
"Connecticut",18.77,30.5,4.5,4
"New Jersey",18.27,24.4,4.1,2
"Texas",17.96,35.4,4.3,43
"Hawaii",17.86,23.9,4.2,14
"Maryland",17.8,29.1,4.5,9
"Georgia",17.55,33.6,4.5,26
"Florida",17.49,33.7,4.3,27