"state","unemploymentRateJuly2023","unemploymentRateJuly2022","unemploymentRateJuly2021"
"Nevada",5.3,4.4,6.6
"District of Columbia",5,5.2,7.1
"California",4.6,3.9,7.4
"Delaware",4.1,4.4,5.5
"Texas",4.1,4,5.6
"Illinois",4,4.4,6.2
"New Jersey",3.9,3.7,6.6
"New York",3.9,4.4,6.9
"Alaska",3.8,4.5,6.5
"Kentucky",3.8,3.7,4.8
"Arizona",3.6,3.3,4.9
"Connecticut",3.6,3.7,6.3
"Michigan",3.6,4.2,6.2
"New Mexico",3.6,4.5,7
"Washington",3.6,3.7,5.2
"Pennsylvania",3.5,4.3,6.4
"Louisiana",3.4,3.6,5.5
"Oregon",3.4,3.5,5.1
"West Virginia",3.4,3.7,5.1
"Indiana",3.3,2.6,3.7
"North Carolina",3.3,3.4,4.9
"Ohio",3.3,3.9,5.1
"Georgia",3.2,2.8,3.9
"South Carolina",3.1,3.2,4
"Tennessee",3.1,3.3,4.2
"Minnesota",3,1.8,3.3
"Mississippi",3,3.6,5.6
"Wyoming",3,3,4.5
"Colorado",2.9,3.3,5.6
"Hawaii",2.8,4.1,5.5
"Idaho",2.8,2.6,3.6
"Rhode Island",2.8,2.7,6
"Florida",2.7,2.7,4.5
"Iowa",2.7,2.5,4.4
"Kansas",2.7,2.4,3.4
"Missouri",2.7,2.5,4.3
"Oklahoma",2.7,3,3.9
"Arkansas",2.6,3.3,4
"Wisconsin",2.6,3,3.8
"Massachusetts",2.5,3.5,5.7
"Montana",2.5,2.7,3.5
"Virginia",2.5,2.7,3.8
"Maine",2.4,2.8,4.9
"Utah",2.4,2,2.7
"Alabama",2.1,2.6,3.4
"Nebraska",2,2,2.5
"North Dakota",2,2.3,3.4
"South Dakota",1.9,2.3,3.2
"Maryland",1.8,3.9,6.1
"Vermont",1.8,2.1,3.3
"New Hampshire",1.7,2,3.5